room,id,rssi,time
Office,3770FDE1-7D7D-B738-8C98-F36120C26D0B,-38.0,742084295.93679
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-83.0,742084296.187084
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-85.0,742084296.324038
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-91.0,742084296.445122
Office,4D4BC7C0-7EAD-F689-6498-044BB7AF6AAC,-99.0,742084296.890332
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-90.0,742084296.947542
Office,14C5B0A7-CF70-4D8C-2ABA-4D0747F5E489,-96.0,742084297.084043
Office,F71169D0-C408-F951-7E10-32C258AAA506,-99.0,742084297.357689
Office,5AFFCDEB-28F5-A310-0D59-F2A375851452,-87.0,742084297.368875
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-93.0,742084297.41795
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-90.0,742084297.805652
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-91.0,742084297.817466
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-83.0,742084298.147159
Office,584E0854-B480-2B8F-47B3-6C5D118B94A6,-60.0,742084298.377986
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-91.0,742084298.495825
Office,B151512A-7EE9-3CC7-E041-6F58B00E125B,-101.0,742084298.622574
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-87.0,742084298.88576
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-87.0,742084298.89827
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-90.0,742084299.511416
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-95.0,742084300.069289
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-88.0,742084300.516477
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-93.0,742084300.757742
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0,742084300.878258
Office,07DD3ACF-12CA-BC5C-AB7A-96A5031B53B8,-99.0,742084300.970341
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-88.0,742084301.841473
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0,742084301.873569
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-92.0,742084302.041926
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-84.0,742084302.628642
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-91.0,742084302.965193
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-78.0,742084303.51557
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-89.0,742084303.60193
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-87.0,742084303.739496
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-85.0,742084303.974231
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-85.0,742084303.983807
Office,EE187CCB-4C03-CCE1-0504-A44629F158A1,-96.0,742084304.040946
Office,EE187CCB-4C03-CCE1-0504-A44629F158A1,-96.0,742084304.05236
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-85.0,742084304.399563
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-85.0,742084304.540181
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-73.0,742084304.737074
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-96.0,742084305.295337
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-84.0,742084305.326788
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0,742084305.345777
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-89.0,742084305.730412
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-89.0,742084305.75509
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-83.0,742084305.972908
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-89.0,742084306.517058
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-83.0,742084306.586595
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-91.0,742084307.169746
Office,E95245D1-5B0B-8CEB-B2C2-13AAF910D020,-99.0,742084307.318099
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0,742084307.573355
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-82.0,742084307.585883
Office,D6B0B887-C054-1540-3A1A-0E449360B0D8,-95.0,742084307.829569
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-91.0,742084308.227225
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-90.0,742084308.23819
