room,id,rssi,time,name
Office,56FBC6B1-5DB8-34ED-F956-46BBF620FD1C,-96.0,742178666.122997,
Office,1A2B6926-0AAC-A5FD-16F0-B987D3F52AC5,-92.0,742178666.235108,[TV] Samsung Q60 Series (55)
Office,4AF55C6C-175A-4437-B92A-A75A8BAAFB64,-99.0,742178666.242773,
Office,1A2B6926-0AAC-A5FD-16F0-B987D3F52AC5,-95.0,742178666.261859,[TV] Samsung Q60 Series (55)
Office,D7ED6A9C-1A76-EC23-1604-0A1EE0A37460,-96.0,742178666.547865,
Office,53D2EB16-4712-8BE9-9239-5456F420B33C,-97.0,742178666.789914,
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-92.0,742178667.022971,Maliha’s Room
Office,F5B8633B-9087-58B4-B54B-4C32C6CA70A5,-99.0,742178667.31713,ihoment_H6160_20FD
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-72.0,742178667.464769,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-72.0,742178667.584214,
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-89.0,742178667.642097,Maliha’s Room
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-73.0,742178667.719927,
Office,03D87D1A-0EFB-7FDA-066B-8E23DE476205,-97.0,742178667.805007,
Office,23AAFE6A-2805-7DCA-4D77-C1DEAB5F7766,-95.0,742178667.817872,
Office,2503EFDB-8AA7-53EE-2AED-339E092DFC2D,-99.0,742178668.255243,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-80.0,742178668.32477,
Office,767B7B8B-5B66-F187-5E3F-2D91165B7273,-94.0,742178668.643998,Maliha’s Room
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-83.0,742178668.732538,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-88.0,742178668.876075,
Office,64303B1C-8176-15D6-E44C-8C5F34BA7D2E,-47.0,742178669.028905,Brayden’s AirPods Max
Office,3EBC03D2-9BA7-69C0-2BB8-ED0D6EFEC050,-97.0,742178669.0908,NLRM5
Office,3EBC03D2-9BA7-69C0-2BB8-ED0D6EFEC050,-97.0,742178669.101907,NLRM5
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-77.0,742178669.292429,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-78.0,742178669.328548,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,127.0,742178669.417317,
Office,94CE6244-F55B-5A57-E0D3-400D3E564F48,-80.0,742178669.422952,
Office,CE8E02F4-6E03-1674-5611-3CFFB7F205F8,-96.0,742178669.538461,ihoment_H5080_8017
